,Category,    Threat Event ,    Vulnerability ,    Asset ,    Consequence
275,Supply chain compromise,  Supplier's insider shares access credentials with attacker,    No access control monitoring,    Cloud-based supply chain systems,    Compromises supply chain operations.
276,Supply chain compromise,  Compromised supply chain software development environment,    No secure development lifecycle,    Software supply chain,    Malware embedded in shipped software.
277,Supply chain compromise,  Unsecured supplier system used as pivot for network attack,    No third-party network isolation,    IT infrastructure,    Enables attackers to compromise internal networks.
278,Supply chain compromise,  Supplier IT system ransomware attack,    No third-party risk management,    Supply chain management system,    Locks critical operations of supply chain.
279,Supply chain compromise,  Supplier uses unauthorized communication channels,    Lack of secure communication protocols,    Supply chain communication,    Exposes sensitive data to eavesdropping.
280,Supply chain compromise,  Counterfeit software licenses provided by supplier,    No license validation,    IT systems,    Causes legal and operational risks.
281,Supply chain compromise,  Supplier's third-party code audit reveals vulnerability,    No code audit requirement,    Software supply chain,    Delivers software with significant vulnerabilities.
282,Supply chain compromise,  Supplier network exposes unsecured APIs to attackers,    Lack of API security standards,    Supply chain application,    Attacker exploits unsecured endpoints.
283,Supply chain compromise,  Third-party logistics company uses insecure transportation methods,    Lack of physical security,    Critical hardware supply chain,    Tampering or theft of critical hardware.
284,Supply chain compromise,  Attacker modifies firmware in transit,    No end-to-end encryption,    Hardware supply chain,    Introduces malicious firmware into devices.
285,Supply chain compromise,  Supplier delay due to cyber attack on their system,    No supplier incident response plans,    Manufacturing systems,    Disrupts production schedules.
286,Supply chain compromise,  Supplier uses default credentials on equipment,    No credential hardening policy,    Operational technology systems,    Allows unauthorized access.
287,Supply chain compromise,  Compromised supplier ships malware-infected products,    No endpoint validation,    Enterprise IT systems,    Introduces malware through shipped devices.
288,Supply chain compromise,  Supplier's access to shared repositories exposes vulnerabilities,    Lack of repository access controls,    Shared development environments,    Exposes sensitive code to unauthorized users.
289,Supply chain compromise,  Unpatched supplier servers exploited to attack production environment,    No patch verification for suppliers,    Enterprise network,    Enables attackers to compromise production systems.
290,Supply chain compromise,  Supplier employee accidentally discloses confidential data,    Lack of data handling policies,    Supply chain systems,    Leaks sensitive information about operations.
291,Supply chain compromise,  Attacker compromises supplier’s warehouse systems,    No warehouse system security,    Logistics systems,    Alters shipment data to reroute deliveries.
292,Supply chain compromise,  Compromised supplier equipment installed in critical infrastructure,    Lack of equipment validation,    Infrastructure systems,    Maliciously compromises critical infrastructure.
293,Supply chain compromise,  Supplier introduces vulnerabilities in encryption algorithms,    No encryption verification,    IT infrastructure,    Exposes sensitive communications to decryption.
294,Supply chain compromise,  Third-party contract manufacturers using outdated security standards,    No contract security audits,    Manufacturing systems,    Compromises the integrity of manufactured goods.
295,Supply chain compromise,  Supplier's insider facilitates product diversion,    Lack of supply chain oversight,    Logistics,    Results in theft or diversion of high-value products.
296,Supply chain compromise,  Compromised supplier APIs allow data exfiltration,    No secure API access,    Supply chain application,    Attacker siphons sensitive data.
297,Supply chain compromise,  Supplier exposes sensitive customer data during maintenance,    Lack of data encryption,    Cloud-based supply chain systems,    Exposes sensitive customer information.
